Comunidad;2018;2021;2022;2023
Andalucia;1,379.7;2,039.3;2,136.5;2,318.9
Cataluña;1,312.1;2,068.1;2,207.1;2,308.9
Com. de Madrid;1,117.2;1,133.9;1,054.9;1,305.4
C. Valenciana;700.0;1,106.9;1,155.6;1,269.5
Galicia;894.8;792.6;1,033.5;1,077.9
Castilla y León;962.7;799.2;935.2;955.8
Castilla-La Mancha;533.9;349.8;458.9;600.7
País Vasco;516.8;534.1;500.7;558.8
Aragón;412.1;408.6;439.3;547.9
Murcia;326.9;610.1;702.7;481.5
Extremadura;363.9;384.1;367.6;473.9
Asturias;224.1;365.6;365.5;420.9
Canarias;268.6;347.3;348.5;391.9
Cantabria;257.9;237.4;217.1;296.6
Baleares;166.5;196.2;168.1;186.3
Navarra;37.7;75.3;62.5;103.8
La Rioja;60.7;55.2;59.0;71.3
Melilla;30.5;13.0;536.1;45.3
Ceuta;23.5;19.7;492.5;28.9
